,startYear,minutes
0,1874.0,1.0
1,1877.0,1.0
2,1878.0,1.0
3,1881.0,1.0
4,1882.0,1.0
5,1883.0,1.0
6,1885.0,1.0
7,1887.0,1.0
8,1888.0,0.75
9,1890.0,1.0
10,1891.0,1.0
11,1892.0,4.6
12,1893.0,1.0
13,1894.0,2.257142857142857
14,1895.0,1.225
15,1896.0,1.3049645390070923
16,1897.0,1.261802575107296
17,1898.0,1.3206106870229009
18,1899.0,2.3121019108280256
19,1900.0,2.2786069651741294
20,1901.0,2.5677083333333335
21,1902.0,2.6805555555555554
22,1903.0,3.517948717948718
23,1904.0,4.473684210526316
24,1905.0,5.4393063583815024
25,1906.0,6.201117318435754
26,1907.0,7.978378378378379
27,1908.0,9.665369649805447
28,1909.0,9.445086705202312
29,1910.0,13.550970873786408
30,1911.0,15.502546689303905
31,1912.0,14.991253644314869
32,1913.0,15.547440273037543
33,1914.0,22.03363740022805
34,1915.0,32.746820809248554
35,1916.0,41.82241014799154
36,1917.0,45.571698113207546
37,1918.0,49.19397993311037
38,1919.0,52.04323094425484
39,1920.0,50.1140642303433
40,1921.0,50.42660550458716
41,1922.0,53.12958435207824
42,1923.0,55.49936948297604
43,1924.0,53.82119205298013
44,1925.0,54.155729676787466
45,1926.0,51.59964881474978
46,1927.0,51.437017994858614
47,1928.0,50.28890543559196
48,1929.0,42.504895960832314
49,1930.0,46.59406494960806
50,1931.0,49.357142857142854
51,1932.0,53.48950682056663
52,1933.0,55.74131274131274
53,1934.0,54.79474467030243
54,1935.0,55.77522477522478
55,1936.0,56.28584269662921
56,1937.0,54.632
57,1938.0,55.85942089802769
58,1939.0,58.32787630741246
59,1940.0,58.858189429618
60,1941.0,56.597030752916226
61,1942.0,55.86890243902439
62,1943.0,57.80992196209588
63,1944.0,53.97936210131332
64,1945.0,52.30157687253614
65,1946.0,54.55765819041987
66,1947.0,58.8780487804878
67,1948.0,58.86489151873767
68,1949.0,60.96047794117647
69,1950.0,61.605172413793106
70,1951.0,61.38744769874477
71,1952.0,62.02501042100875
72,1953.0,61.517780382962094
73,1954.0,63.8409180846854
74,1955.0,63.4974283614989
75,1956.0,65.09187279151944
76,1957.0,63.98151099776857
77,1958.0,65.0410604591012
78,1959.0,67.980404551201
79,1960.0,66.47098875074008
80,1961.0,66.4809245335561
81,1962.0,67.1472972972973
82,1963.0,64.53649068322981
83,1964.0,65.54424242424243
84,1965.0,65.74607636448818
85,1966.0,65.22797331492984
86,1967.0,66.12531380753138
87,1968.0,67.97163844113446
88,1969.0,65.40201501382853
89,1970.0,66.90441873696189
90,1971.0,66.63335880779519
91,1972.0,67.92463996843559
92,1973.0,67.90328895849647
93,1974.0,67.23137409081974
94,1975.0,66.745922087891
95,1976.0,67.34647342995169
96,1977.0,69.5960729312763
97,1978.0,68.61139311900733
98,1979.0,69.12074074074074
99,1980.0,69.68818755635708
100,1981.0,71.47228827510517
101,1982.0,73.59414542020774
102,1983.0,71.83285714285714
103,1984.0,71.153125
104,1985.0,70.9458286449124
105,1986.0,71.69798234552333
106,1987.0,73.15648510382185
107,1988.0,72.49180327868852
108,1989.0,71.95068493150686
109,1990.0,70.13959243085881
110,1991.0,69.79016821345708
111,1992.0,69.17516936264344
112,1993.0,69.05989971540859
113,1994.0,67.35568906326631
114,1995.0,66.90246941549614
115,1996.0,66.12901810202962
116,1997.0,65.471446179129
117,1998.0,64.43073774304587
118,1999.0,64.10816911190207
119,2000.0,64.75172837609463
120,2001.0,62.34191505472568
121,2002.0,60.829807926088016
122,2003.0,61.04672749327567
123,2004.0,59.06155198944823
124,2005.0,56.346020895638325
125,2006.0,55.159264194240876
126,2007.0,52.97137430939227
127,2008.0,50.410627279134616
128,2009.0,45.54002896152255
129,2010.0,41.871492375710545
130,2011.0,41.1481140561913
131,2012.0,40.6291411161248
132,2013.0,38.67031528419215
133,2014.0,38.44483818854552
134,2015.0,39.9079446038324
135,2016.0,38.210822085466546
136,2017.0,38.603052250388
137,2018.0,38.79267541156792
138,2019.0,41.90602313522138
139,2020.0,39.26483144756794
140,2021.0,42.383656582692105
141,2022.0,50.8749713236981
