,count,primaryName,originalTitle
0,368,Aachi Manorama,Indian
1,331,Pandari Bai,Namma Makkalu
2,270,Jayabharati,Alavuddinum Athbutha Vilakkum
3,269,Anjali Devi,Palletoori Pilla
4,269,Helen,Mohabbatein
