,Fresh,Rotten,General,freq_fresh,freq_rot,freq_total,rel_fresh,rel_rot
20,3.0,1.0,4,0.0022814555686528,0.0007604851895509335,0.003041940758203734,0.003682653474583553,0.0019987208186760474
2000,1.0,3.0,4,0.0007604851895509335,0.0022814555686528,0.003041940758203734,0.0012275511581945177,0.005996162456028142
2001,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
2002,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
2003,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
2006,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
2007,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
2008,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
2010,2.0,2.0,4,0.001520970379101867,0.001520970379101867,0.003041940758203734,0.0024551023163890354,0.003997441637352095
2014,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
2016,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
2049,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
20th,4.0,0.0,4,0.003041940758203734,0.0,0.003041940758203734,0.004910204632778071,0.0
21,2.0,3.0,5,0.001520970379101867,0.0022814555686528,0.0038024259477546676,0.0024551023163890354,0.005996162456028142
21st,8.0,0.0,8,0.006083881516407468,0.0,0.006083881516407468,0.009820409265556142,0.0
22,3.0,1.0,4,0.0022814555686528,0.0007604851895509335,0.003041940758203734,0.003682653474583553,0.0019987208186760474
23,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
237,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
24,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
246,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
24th,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
28,4.0,1.0,5,0.003041940758203734,0.0007604851895509335,0.0038024259477546676,0.004910204632778071,0.0019987208186760474
29,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
2u,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
30,3.0,5.0,8,0.0022814555686528,0.0038024259477546676,0.006083881516407468,0.003682653474583553,0.009993604093380237
3000,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
31st,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
34th,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
37,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
3d,7.0,11.0,18,0.005323396326856534,0.008365337085060268,0.013688733411916803,0.008592858107361625,0.02198592900543652
40,1.0,4.0,5,0.0007604851895509335,0.003041940758203734,0.0038024259477546676,0.0012275511581945177,0.00799488327470419
42,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
422,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
42nd,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
45,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
451,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
47,1.0,4.0,5,0.0007604851895509335,0.003041940758203734,0.0038024259477546676,0.0012275511581945177,0.00799488327470419
48,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
50,3.0,2.0,5,0.0022814555686528,0.001520970379101867,0.0038024259477546676,0.003682653474583553,0.003997441637352095
500,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
50s,2.0,2.0,4,0.001520970379101867,0.001520970379101867,0.003041940758203734,0.0024551023163890354,0.003997441637352095
52,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
53,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
571,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
60,1.0,2.0,3,0.0007604851895509335,0.001520970379101867,0.0022814555686528,0.0012275511581945177,0.003997441637352095
60s,3.0,1.0,4,0.0022814555686528,0.0007604851895509335,0.003041940758203734,0.003682653474583553,0.0019987208186760474
66,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
70,5.0,0.0,5,0.0038024259477546676,0.0,0.0038024259477546676,0.006137755790972589,0.0
70s,7.0,0.0,7,0.005323396326856534,0.0,0.005323396326856534,0.008592858107361625,0.0
71,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
78,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
80,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
80s,14.0,2.0,16,0.010646792653713068,0.001520970379101867,0.012167763032814936,0.01718571621472325,0.003997441637352095
88,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
90,4.0,4.0,8,0.003041940758203734,0.003041940758203734,0.006083881516407468,0.004910204632778071,0.00799488327470419
90s,7.0,5.0,12,0.005323396326856534,0.0038024259477546676,0.0091258222746112,0.008592858107361625,0.009993604093380237
93,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
95,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
97,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
99,3.0,0.0,3,0.0022814555686528,0.0,0.0022814555686528,0.003682653474583553,0.0
aardman,5.0,0.0,5,0.0038024259477546676,0.0,0.0038024259477546676,0.006137755790972589,0.0
aaron,8.0,1.0,9,0.006083881516407468,0.0007604851895509335,0.006844366705958401,0.009820409265556142,0.0019987208186760474
abagnale,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abandon,4.0,5.0,9,0.003041940758203734,0.0038024259477546676,0.006844366705958401,0.004910204632778071,0.009993604093380237
abandoned,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
abandonment,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abbas,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
abbey,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abbi,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abbie,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
abbott,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abbreviated,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abby,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abc,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
abduction,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abdul,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abe,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abel,3.0,0.0,3,0.0022814555686528,0.0,0.0022814555686528,0.003682653474583553,0.0
aberdeen,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abetted,4.0,0.0,4,0.003041940758203734,0.0,0.003041940758203734,0.004910204632778071,0.0
abigail,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
ability,4.0,5.0,9,0.003041940758203734,0.0038024259477546676,0.006844366705958401,0.004910204632778071,0.009993604093380237
abject,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
able,9.0,4.0,13,0.006844366705958401,0.003041940758203734,0.009886307464162135,0.01104796042375066,0.00799488327470419
abled,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
ably,5.0,1.0,6,0.0038024259477546676,0.0007604851895509335,0.0045629111373056,0.006137755790972589,0.0019987208186760474
aboard,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
abominable,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abortion,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abound,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
abrahams,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abrams,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
absolute,4.0,1.0,5,0.003041940758203734,0.0007604851895509335,0.0038024259477546676,0.004910204632778071,0.0019987208186760474
absolutely,2.0,2.0,4,0.001520970379101867,0.001520970379101867,0.003041940758203734,0.0024551023163890354,0.003997441637352095
